step,loss,grad_norm,param_norm
0,13.669118881225586,38.23440933227539,1666.0970458984375
100,10.923991203308105,30.9420223236084,1666.0970458984375
200,5.5102763175964355,6.727530479431152,1666.0972900390625
300,4.014174938201904,2.849104166030884,1666.0982666015625
400,3.5001943111419678,3.002763271331787,1666.0999755859375
500,3.2607009410858154,3.2480885982513428,1666.1024169921875
600,3.075566291809082,3.3336620330810547,1666.105224609375
700,2.9239561557769775,3.3695363998413086,1666.1090087890625
800,2.81898832321167,3.1919169425964355,1666.1134033203125
900,2.745858669281006,3.0917632579803467,1666.1190185546875
1000,2.695767402648926,3.0421221256256104,1666.1258544921875
1000,2.695767402648926,3.0421221256256104,1666.1258544921875
1100,2.634911060333252,2.8909947872161865,1666.1339111328125
1200,2.5835442543029785,2.8578786849975586,1666.141845703125
1300,2.5279781818389893,2.820263624191284,1666.1495361328125
1400,2.4772756099700928,2.798215866088867,1666.157470703125
1500,2.455784797668457,2.7393438816070557,1666.1654052734375
1600,2.415726661682129,2.7088751792907715,1666.17333984375
1700,2.3773508071899414,2.689363956451416,1666.181396484375
1800,2.3586409091949463,2.6577630043029785,1666.189208984375
1900,2.348332405090332,2.601029634475708,1666.1971435546875
2000,2.3195526599884033,2.620692729949951,1666.2049560546875
2000,2.3195526599884033,2.620692729949951,1666.2049560546875
2100,2.309201240539551,2.588901996612549,1666.212646484375
2200,2.294910430908203,2.5351102352142334,1666.220703125
2300,2.280078411102295,2.5144670009613037,1666.228759765625
2400,2.2696101665496826,2.5414552688598633,1666.2362060546875
2500,2.2675282955169678,2.512200355529785,1666.243896484375
2600,2.242262125015259,2.5227982997894287,1666.2518310546875
2700,2.2258968353271484,2.5390806198120117,1666.2596435546875
2800,2.2298669815063477,2.456691026687622,1666.267578125
2900,2.218553066253662,2.4303195476531982,1666.275390625
3000,2.2051150798797607,2.3934333324432373,1666.283447265625
3000,2.2051150798797607,2.3934333324432373,1666.283447265625
3100,2.202977180480957,2.4607176780700684,1666.2908935546875
3200,2.1881842613220215,2.407656192779541,1666.29833984375
3300,2.181061029434204,2.421725034713745,1666.30615234375
3400,2.176335096359253,2.440140962600708,1666.3143310546875
3500,2.170980453491211,2.3900978565216064,1666.3221435546875
3600,2.1741199493408203,2.39410662651062,1666.3294677734375
3700,2.15254545211792,2.399197816848755,1666.337158203125
3800,2.1419928073883057,2.4141452312469482,1666.3446044921875
3900,2.1392955780029297,2.3795742988586426,1666.3521728515625
4000,2.148780584335327,2.387611150741577,1666.359619140625
4000,2.148780584335327,2.387611150741577,1666.359619140625
4100,2.1380362510681152,2.4220492839813232,1666.3668212890625
4200,2.12392258644104,2.3901569843292236,1666.37451171875
4300,2.1253390312194824,2.387765884399414,1666.3822021484375
4400,2.1325862407684326,2.3951735496520996,1666.3896484375
4500,2.1128642559051514,2.347348213195801,1666.396728515625
4600,2.112196445465088,2.3710217475891113,1666.4036865234375
4700,2.1098523139953613,2.3869171142578125,1666.4112548828125
4800,2.1163136959075928,2.342175006866455,1666.418701171875
4900,2.099717140197754,2.4606215953826904,1666.42578125
